Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,109997288,1409.0816107222304,2533658,32.45653561621688,384448,2435145,31.19456944195012,73096,0.936370625949907,10471,
United States of America,Americas,27560643,8326.41,539753,163.07,69069,486970,147.12,18919,5.72,2591,Community transmission
India,South-East Asia,10963394,794.45,82791,6,13193,156111,11.31,664,0.05,97,Clusters of cases
Brazil,Americas,9978747,4694.57,319580,150.35,56766,242090,113.89,7240,3.41,1150,Community transmission
Russian Federation,Europe,4139031,2836.23,96194,65.92,13433,82396,56.46,3202,2.19,470,Clusters of cases
The United Kingdom,Europe,4083246,6014.86,84587,124.6,12057,119387,175.86,3858,5.68,454,Community transmission
France,Europe,3476135,5325.49,126742,194.17,22490,82959,127.09,2570,3.94,267,Community transmission
Spain,Europe,3121687,6676.72,52515,112.32,4323,66704,142.67,1168,2.5,34,Community transmission
Italy,Europe,2765412,4573.81,82009,135.64,13755,94887,156.94,2158,3.57,347,Clusters of cases
Turkey,Europe,2616600,3102.48,52173,61.86,7241,27821,32.99,634,0.75,83,Community transmission
Germany,Europe,2369719,2828.37,49626,59.23,9113,67206,80.21,3015,3.6,508,Community transmission
Colombia,Americas,2207701,4338.79,34354,67.52,5103,58134,114.25,1401,2.75,185,Community transmission
Argentina,Americas,2039124,4511.76,38090,84.28,6064,50616,111.99,942,2.08,184,Community transmission
Mexico,Americas,2013563,1561.72,55674,43.18,8988,177061,137.33,7301,5.66,1075,Community transmission
Poland,Europe,1623218,4288.94,46182,122.02,8772,41823,110.51,1399,3.7,241,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1550142,1845.56,53687,63.92,8066,59264,70.56,513,0.61,80,Community transmission
South Africa,Africa,1498766,2527.06,13866,23.38,2327,48708,82.13,1326,2.24,230,Community transmission
Ukraine,Europe,1293672,2958.06,30805,70.44,6531,24972,57.1,798,1.82,120,Community transmission
Indonesia,South-East Asia,1252685,457.98,60695,22.19,9039,33969,12.42,1588,0.58,181,Community transmission
Peru,Americas,1252137,3797.59,48635,147.5,7408,44308,134.38,1449,4.39,252,Community transmission
Czechia,Europe,1134957,10598.18,60991,569.53,11705,18913,176.61,1011,9.44,174,Community transmission
Netherlands,Europe,1042674,6085.1,25542,149.06,4618,15089,88.06,433,2.53,74,Community transmission
Canada,Americas,834182,2210.21,20200,53.52,2605,21435,56.79,431,1.14,38,Community transmission
Portugal,Europe,792829,7775.34,14460,141.81,1944,15754,154.5,869,8.52,105,Clusters of cases
Chile,Americas,788142,4122.9,23835,124.68,3828,19798,103.57,536,2.8,139,Community transmission
Romania,Europe,771843,4012.14,16717,86.9,3058,19659,102.19,459,2.39,71,Community transmission
Belgium,Europe,746302,6439.4,10064,86.84,0,21821,188.28,221,1.91,0,Community transmission
Israel,Europe,731037,8445.89,20191,233.27,0,5417,62.58,147,1.7,0,Community transmission
Iraq,Eastern Mediterranean,657453,1634.54,20545,51.08,3896,13220,32.87,76,0.19,16,Community transmission
Sweden,Europe,627022,6208.59,22449,222.28,4958,12598,124.74,38,0.38,4,Community transmission
Pakistan,Eastern Mediterranean,567261,256.8,8168,3.7,1272,12488,5.65,303,0.14,52,Community transmission
Philippines,Western Pacific,555163,506.62,11881,10.84,1739,11673,10.65,204,0.19,96,Community transmission
Switzerland,Europe,544137,6287.24,5636,65.12,2,9139,105.6,77,0.89,0,Community transmission
Bangladesh,South-East Asia,542268,329.27,2697,1.64,391,8329,5.06,81,0.05,15,Community transmission
Morocco,Eastern Mediterranean,480056,1300.59,2896,7.85,477,8524,23.09,84,0.23,7,Clusters of cases
Austria,Europe,436100,4842.11,10441,115.93,1983,8210,91.16,161,1.79,26,Community transmission
Serbia,Europe,429048,6161.15,13105,188.19,2561,4292,61.63,109,1.57,15,Community transmission
Japan,Western Pacific,421967,333.63,10216,8.08,1559,7274,5.75,500,0.4,78,Clusters of cases
Hungary,Europe,397116,4110.78,13381,138.51,3093,14145,146.42,602,6.23,110,Community transmission
Saudi Arabia,Eastern Mediterranean,374029,1074.37,2309,6.63,327,6450,18.53,30,0.09,5,Sporadic cases
United Arab Emirates,Eastern Mediterranean,361877,3658.87,22210,224.56,3294,1073,10.85,99,1,18,Community transmission
Jordan,Eastern Mediterranean,356744,3496.42,14760,144.66,1638,4512,44.22,91,0.89,9,Community transmission
Lebanon,Eastern Mediterranean,348793,5110.19,17641,258.46,2730,4206,61.62,340,4.98,54,Community transmission
Panama,Americas,333755,7735.18,4388,101.7,504,5672,131.46,122,2.83,17,Community transmission
Slovakia,Europe,287752,5270.53,16279,298.17,2333,6350,116.31,721,13.21,79,Clusters of cases
Malaysia,Western Pacific,274875,849.27,19887,61.44,2712,1030,3.18,94,0.29,25,Clusters of cases
Belarus,Europe,273659,2896.07,10108,106.97,1386,1885,19.95,65,0.69,9,Community transmission
Nepal,South-East Asia,273166,937.53,736,2.53,96,2058,7.06,6,0.02,3,Clusters of cases
Ecuador,Americas,269860,1529.55,7547,42.78,1641,15444,87.54,270,1.53,50,Community transmission
Georgia,Europe,267701,6710.7,3036,76.11,388,3406,85.38,70,1.75,7,Community transmission
Kazakhstan,Europe,254712,1356.53,5150,27.43,0,3246,17.29,61,0.32,0,Clusters of cases
Croatia,Europe,239254,5827.98,2174,52.96,388,5407,131.71,125,3.04,8,Community transmission
Bolivia (Plurinational State of),Americas,238495,2043.13,5993,51.34,789,11303,96.83,307,2.63,29,Community transmission
Bulgaria,Europe,234428,3373.82,6384,91.88,1186,9786,140.84,225,3.24,42,Clusters of cases
Dominican Republic,Americas,232780,2145.85,6066,55.92,1043,3007,27.72,103,0.95,17,Community transmission
Azerbaijan,Europe,232636,2294.43,987,9.73,145,3190,31.46,20,0.2,3,Clusters of cases
Tunisia,Eastern Mediterranean,226015,1912.36,5537,46.85,899,7684,65.02,255,2.16,33,Community transmission
Ireland,Europe,212647,4306.53,5846,118.39,896,4082,82.67,236,4.78,46,Community transmission
Denmark,Europe,206065,3557.63,2700,46.61,468,2319,40.04,50,0.86,3,Community transmission
Costa Rica,Americas,200888,3943.53,2550,50.06,434,2745,53.89,44,0.86,8,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,193418,3791.46,6557,128.53,627,2155,42.24,53,1.04,8,Community transmission
Lithuania,Europe,192986,7089.11,3928,144.29,793,3145,115.53,132,4.85,16,Community transmission
Slovenia,Europe,182484,8777.75,5409,260.18,872,4008,192.79,27,1.3,0,Clusters of cases
